Component 1,Component 2,Component 3,Component 4,LogIC50
11.793834,1.388502,0.660065,-1.185578,1.894
5.614721,2.419686,-0.821971,5.1094,2.422
1.588422,2.9618,0.880851,-1.678225,2.029
0.105652,3.088375,0.773105,-1.521936,2.162
-3.853133,-2.734568,-0.151553,-0.658257,1.96
5.380898,0.139637,2.031634,0.934732,2.622
-12.195114,2.509767,-2.06687,0.280377,2.121
-4.198362,-0.798137,2.122157,0.791207,2.367
-13.313113,3.197206,0.561527,-0.312738,2.099
3.383434,-0.574301,-0.765913,-0.203542,2.304
1.134735,-0.793183,-1.375569,-0.238475,2.142
1.056993,-1.410434,-3.801013,-0.536045,2.404
9.221899,0.298171,0.950961,-0.866183,2.236
3.796316,-1.198581,-2.035256,-0.813351,2.203
-2.550302,-6.679723,0.748147,0.451624,2.194
-6.966882,-1.814217,2.289698,0.446991,2.498
